,root_id,nucleus_id,volume,clf_type,cell_type,mtype,axon_length,dendrite_length,max_dend_y_path_dist_to_soma,max_dend_y_euclid_dist_to_soma,ds_num_of_incoming_synapses,ds_num_of_outgoing_synapses,ds_incoming_syn_mean_weight,ds_outgoing_syn_mean_weight,ds_incoming_syn_sum_weight,ds_outgoing_syn_sum_weight,ds_incoming_syn_std_weight,ds_outgoing_syn_std_weight,num_of_incoming_synapses,num_of_outgoing_synapses,num_of_incoming_neurons,num_of_outgoing_neurons,num_of_ex_incoming_synapses,num_of_ex_outgoing_synapses,num_of_inh_incoming_synapses,num_of_inh_outgoing_synapses,incoming_syn_mean_weight,incoming_syn_sum_weight,incoming_syn_std_weight,outgoing_syn_mean_weight,outgoing_syn_sum_weight,outgoing_syn_std_weight,ex_incoming_syn_mean_weight,ex_incoming_syn_sum_weight,ex_incoming_syn_std_weight,ex_outgoing_syn_mean_weight,ex_outgoing_syn_sum_weight,ex_outgoing_syn_std_weight,inh_incoming_syn_mean_weight,inh_incoming_syn_sum_weight,inh_incoming_syn_std_weight,inh_outgoing_syn_mean_weight,inh_outgoing_syn_sum_weight,inh_outgoing_syn_std_weight
0,864691134886335738,260727,221.32228096,E,23P,L4b,2085.56982421875,1782.6402587890625,245.7681986093521,224.194973450589,1013,269,7139.822309970385,5660.267657992565,7232640,1522612,6759.461467945466,4355.075263746256,43,62,25,39,10,16,33,46,4560.372093023256,196096,4729.529742212962,5442.193548387097,337416,3488.864621855625,7995.6,79956,8244.789957300309,7429.0,118864.0,4745.362683715545,3519.3939393939395,116140.0,1971.8467261626652,4751.130434782609,218552.0,2592.8535783261923
1,864691134886404090,264888,266.17298944,E,5P-IT,L5b,9566.6357421875,2139.60400390625,399.4804334938526,366.07109304148975,1792,932,6143.886160714285,8244.622317596566,11009844,7683988,5399.033838459093,8114.319995299135,118,155,50,117,43,98,75,57,4506.135593220339,531724,3792.4505447212955,7204.877419354839,1116756,7272.237226280272,7040.279069767442,302732,4469.760756958436,8217.510204081633,805316.0,8509.560443628885,3053.2266666666665,228992.0,2319.792631958488,5463.859649122807,311440.0,3810.2789115510172
2,864691134886663674,301236,189.91153152,E,5P-IT,L5b,9863.6923828125,2647.18212890625,414.16368824243546,389.41960629715345,1932,1109,6350.221532091097,9574.333633904418,12268628,10617936,5748.430205790161,9639.589972560772,42,66,34,57,18,40,24,26,4494.0,188748,4005.0690975550565,7529.757575757576,496964,7214.4644650166565,5268.222222222223,94828,4266.164027105948,8443.9,337756.0,8871.659122734598,3913.3333333333335,93920.0,3692.4459222700725,6123.384615384615,159208.0,2787.997283368656
3,864691134886792442,307126,230.1575168,I,Unsure I,STC,1941.7972412109375,1880.9539794921875,210.7274656444788,56.57514444230105,1146,204,6614.411867364747,3080.098039215686,7580116,628340,5015.02954440329,2988.4600648186292,47,27,34,25,40,22,7,5,6653.872340425532,312732,4966.613082938707,3035.5555555555557,81960,2204.370428864968,7292.6,291704,5072.333865194601,3069.4545454545455,67528.0,1787.5779633925372,3004.0,21028.0,1717.4652419023964,2886.4,14432.0,3486.076166695157
4,864691134886912506,300761,328.58800128,E,5P-IT,L5b,8929.7451171875,3193.52734375,430.1542272120714,400.67172198428585,2784,628,6923.923850574713,6567.75796178344,19276204,4124552,6479.759730180428,6523.718980971772,64,16,45,14,36,10,28,6,6895.25,441296,7290.053047646498,4462.25,71396,2651.80578804331,9923.333333333334,357240,8469.11347846462,4327.6,43276.0,2630.778105428126,3002.0,84056.0,1519.3823933239642,4686.666666666667,28120.0,2671.446715836862
5,864691134918921738,296928,301.76493568,E,4P,L3b,4791.73095703125,2926.599853515625,277.8552879691124,247.57276719149803,5044,448,7363.446471054718,7057.178571428572,37141224,3161616,6754.6088181911555,6479.94146552912,114,75,61,57,36,49,78,26,4774.9473684210525,544344,3701.3708243954775,8024.533333333334,601840,6823.950991096645,5451.888888888889,196268,3950.907123530675,9109.551020408164,446368.0,7494.727651751431,4462.51282051282,348076.0,3536.9073037721328,5979.692307692308,155472.0,4697.360951143252
6,864691134919019274,299043,245.78686976,E,4P,L4a,3002.151123046875,2464.32470703125,337.29300225526094,299.65627203624354,2232,245,7131.419354838709,6554.187755102041,15917328,1605776,6888.438678935926,6120.909590723362,101,29,49,25,35,19,66,10,4587.168316831683,463304,4505.54950455614,6634.482758620689,192400,4199.1863137968285,7549.6,264236,5989.537025752253,6977.263157894737,132568.0,4946.643996234696,3016.181818181818,199068.0,2217.834972882822,5983.2,59832.0,1999.2797102956856
7,864691134919019786,301096,278.37939712,E,4P,L4c,3872.20751953125,2396.524169921875,376.86652533710003,354.6699688359712,1582,373,6913.479140328698,5458.080428954424,10937124,2035864,6326.336402282866,4698.7789554112205,90,71,40,41,12,25,78,46,3478.266666666667,313044,3557.7181226173607,5299.549295774648,376268,4543.030076473074,6524.333333333333,78292,6239.75436660415,7089.92,177248.0,6581.724235608782,3009.641025641026,234752.0,2639.6289122174603,4326.521739130435,199020.0,2371.5370702593636
8,864691134919144714,296785,245.39168768,E,4P,L4a,5008.607421875,2388.748291015625,312.9850221276283,251.15524946496808,2521,595,7081.0678302261,8707.166386554622,17851372,5180764,6561.109400748041,6768.078375607506,63,64,36,46,14,37,49,27,3688.3809523809523,232368,2756.1566720538635,8313.0,532032,6045.570899427117,5956.857142857143,83396,3597.0652096464664,9300.648648648648,344124.0,7092.9233412748,3040.2448979591836,148972.0,2044.4108230721088,6959.555555555556,187908.0,3810.9346509196725
9,864691134919349258,258232,310.24316416,E,23P,L2c,4802.041015625,4277.94091796875,242.77011373639107,186.65785121922445,3820,277,8725.812565445027,6670.570397111914,33332604,1847748,9127.980067663033,7262.461245508796,113,58,73,51,35,34,78,24,5725.522123893806,646984,7827.821050017907,6856.3448275862065,397668,7378.7588259902095,11389.942857142858,398648,11827.15575020435,8303.882352941177,282332.0,8998.031548670246,3183.7948717948716,248336.0,2268.1923580920193,4805.666666666667,115336.0,3115.2057003600185
